CommentID,CommentText,Model_Classification,Annotation,NumberOfLikes,IsReply,Level,ParentCommentText,Timestamp
COMMENT_c1047672,"@[USER]-  Awww look you think freedom of speech is childish. They were people that migrated here like many others. They are a thing of the past, like many races. Every country every race has blood on their hands to occupy the land. I'm sick of people thinking we are going to give America up to them because of their fee fees. It ain't happening, Americans are waking up and it's going to change. No more invading this country, no more white guilt. It's our land now. This country would of been destroyed by someone else, you could be speaking a different language and living in a shit hut.",PRCT,True,0,True,1,"Native Americans MIGRATED HERE TOO, THEY AREN'T NATIVE/INDIGENOUS.",2023-02
COMMENT_49e79de2,@[USER]  actually we do and it’s caused by certain people being allowed in that weren’t previously in the last 40 years as they were a threat to our way of life but then governments decided to join UN WEF Schwann and Co and destroy western nations,PRCT,True,0,True,2,"Aren't you using immigrants and refugees as the same population in your research??? The countries you compared Sweden with, like the US Australia Canada NZ etc don't have similar issue as they have a clear difference between the two and different policies. Immigrants are the people who seek jobs in the new country based on their qualifications, and the refugees, on the other hand, seek asylum two different ideas to enter the new country.",2023-09
COMMENT_686d311f,"Mate, it's the same mess in France in our major cities. And now they plan to move these immigrants from these cities to our small villages in the countryside. This is pure invasion, we have nothing in common with these individuals...",PRCT,True,0,True,1,"Saying Swedens integration has failed is an understatement. I live in southern Sweden. A lot of migration move here because of the mild climate. You cannot even begin to understand how bad society becomes after 7 years of unrestricted immigration on top of 20+ years of fairly high immigration. My own neighbourhood went from being calm, crime free and clean to having multiple shoot outs between criminals every year. Several bombs have exploded in the area too. There's vandalisation going on all the time. Every week something is damaged that you use. I've had 3 break ins during a single year. Rat infestation because people stopped taking care of the garbage means i can see literal rats running across the roads when i go to the shops.

I've spoken to migrants that been collegues that live in fairly bad areas in my city and they speak of parallell societies where local groups run both policing and even ""checks"" of anyone that enters the area. One collegue couldn't even have male friends over because women aren't supposed to have male friends apparently and she had one over that later got threatened by a gang of thugs with a knife. When i picked her up one day, i had to park 2 districts down so they couldnt see the registration of my car number so they could find me later.

A country isn't just its borders and history. But the people itself is the country. If you start replacing or filling a country with people of less developed and ultimately worse morals and way of living.. then you essentially change the country for the worst. This is ultimately, despite delusions and hopes of different outcome, that this is the reality.. and it won't change.

And the politicians aren't helping. The latest change for example is that they want to remove the grade F because too many migrants fail even primary school, so in order to still get them through education.. they simply want to remove the grade F for these people. Just to give an idea of the level of seriousness our politicians are taking it.",2023-08
COMMENT_0bdeb5f9,Fix your country and stop invading ours.,PRCT,True,0,True,0,,2024-09
COMMENT_2fa51843,Invasion ehhh ask the natives what happend to them 200 years ago,PRCT,True,0,True,1,This is called an invasion,2024-02
COMMENT_af328fa3,"@[USER] is that what is going on here?
Like we didn't know they were invading??",PRCT,True,1,True,5,@[USER]  you are very wrong lol,2024-01
COMMENT_5e2e16c1,@[USER]  maybe so but that’s like telling them not to jump over the border and invade us,PRCT,True,1,True,2,"@[USER]-s8i  who's rule is it to not have children? That is up to God, no one can tell someone whether they can have children or not.",2023-01
COMMENT_d3938d28,"@[USER]  No I am sure there is enough money in Swedish pension funds to look after the ageing population. What will happen with a low birth rate which seems to horrify some people is the economy will shrink. That doesn’t mean per capita GDP will decline. Why would you bring in large numbers of dark skinned people with a totally foreign culture, that massively increased the rape statistics for some economic reason? Swedish girls are now targets for immigrants. Surely being Swedish is a lot more than the dollars and cents of the  economy?",PRCT,True,0,True,2,@[USER]-hh4rv  Good lord. Did you any of you watch the video? It's because of excessive welfare.,2022-06
COMMENT_8c41a036,It's an invasion,PRCT,True,0,True,1,This man's gun should have never been confiscated. He shouldn't have been arrested for defending his property.,2024-02
COMMENT_0fbd395b,This isn’t immigration - it is an INVADING ARMY!!!! America is done if you don’t put a stop to this. It doesn’t matter if it was Soros or any other factor causing this - it MUST be stopped or you are the next France….. and America is finished,PRCT,True,0,True,1,"as someone who has never had an issue with immigration and when it came to illegal immigration i always thought that some people deserved a pathway to citizenship, THIS is out of control. this is not sustainable and needs to stop.",2023-10
